"","index","text","keyword1","keyword2","keyword3","concept1","concept2","concept3","entity1","entity2","entity3","anger","disgust","fear","joy","sadness","analytical","confident","tentative","openness","conscientiousness","extraversion","agreeableness","emotional_range","taxonomy","knowledgegraph"
"179",179,"RT JSDALLAS Fintech disruption New DigitalCurrency Zcash Now Available  ","JSDALLAS Fintech disruption","New DigitalCurrency Zcash","NA","","","","","","",0.117,0.008,0.126,0.704,0.097,0,0,0,0.31,0.541,0.023,0.538,0.004," ","/problems/disruptions/jsdallas fintech disruption "
"180",180,"RT JSDALLAS Fintech disruption New DigitalCurrency Zcash Now Available  ","JSDALLAS Fintech disruption","New DigitalCurrency Zcash","NA","","","","","","",0.117,0.008,0.126,0.704,0.097,0,0,0,0.31,0.541,0.023,0.538,0.004," ","/problems/disruptions/jsdallas fintech disruption "
"181",181,"RT floam     ","floam","NA","NA","","","","","","",0.035,0.051,0.024,0.657,0.26,0,0,0,0.046,0.134,0.385,0.605,0.113," "," "
"182",182,"RT hq  bnn  pa   socrates       zooko this is very accommodating of you but it doesnt help the unfixable ZCash vulnerabilities","unfixable ZCash vulnerabilities","bnn  pa","zooko","","","","","","",0.201,0.063,0.366,0.074,0.386,0,0.618,0,0.304,0.28,0.001,0.178,0.006,"/science/social science/philosophy ","/issues/security issues/vulnerabilities/unfixable zcash vulnerabilities "
"183",183," ","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0," "," "
"184",184,"RT hq  bnn  And the law of supply and demand strongly suggests the ZCash price will move proportionately and inversely in that time htt"," hq  bnn","ZCash price","htt","Supply and demand","Inverse demand function","Karl Marx","ZCash","NA","NA",0.139,0.101,0.3,0.137,0.415,0,0,0,0.778,0.993,0.276,0.646,0.745,"/health and fitness/disease ","/longarm industrial machines/hq/ hq  bnn "
"185",185,"RT gotgoxed Poloniex  pump and dump Exchange  Ethereum Classic Zcash  ","Exchange  Ethereum Classic","Poloniex  pump","Zcash","Stock market","NA","NA","","","",0.059,0.039,0.056,0.407,0.493,0,0,0,0.532,0.429,0.731,0.558,0.586,"/finance/investing/stocks ","NA "
"186",186,"RT moneytrigz hq  bnn  zcashco  and the privacy feature is not currently working either zec zcash","privacy feature","zcashco","zcash","","","","","","",0.251,0.044,0.096,0.333,0.324,0,0,0.001,0.538,0.126,0.024,0.037,0.036,"/law, govt and politics/politics/elections ","/issues/privacy/privacy feature "
"187",187," ","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0," "," "
"188",188,"hq  bnn  zcashco  and the privacy feature is not currently working either zec zcash","privacy feature","bnn  zcashco","NA","","","","","","",0.325,0.047,0.103,0.195,0.391,0.615,0,0.002,0.713,0.054,0.123,0.006,0.058,"/law, govt and politics/politics/elections ","/issues/privacy/privacy feature "
"189",189,"RT alexellisuk Look ma no hardware Clustered cloud mining for ZCash through Docker Swarm ZCash NiceHashMining mineZcash   ","Docker Swarm ZCash","alexellisuk Look ma","cloud mining","","","","","","",0.1,0.075,0.043,0.363,0.451,0,0,0,0.19,0.415,0.472,0.298,0.136,"/technology and computing ","/companies/brands/dockers/docker swarm zcash "
"190",190,"zcashco Because criminals are totally willing to trust their freedom to an untested currency with huge unfixable vulnerabilities ZCash","huge unfixable vulnerabilities","untested currency","criminals","Security","Islamic Golden Age","NA","","","",0.097,0.301,0.349,0.045,0.313,0.438,0.639,0,0.483,0.502,0.535,0.239,0.479,"/automotive and vehicles/vehicle brands/fiat ","/issues/security issues/vulnerabilities/huge unfixable vulnerabilities "
"191",191,"RT EncryptionGirl XMRenthusiast fluffyponyza zooko Done properly this could be very educational for both the monero and zcash commun","zcash commun","EncryptionGirl XMRenthusiast fluffyponyza","NA","","","","zcash commun","NA","NA",0.046,0.09,0.135,0.31,0.495,0,0,0,0.374,0.341,0.026,0.562,0.005," ","/projects/communes/zcash commun "
"192",192,"Is Zcash Giving Investors Mixed Signals  ","Mixed Signals","Investors","NA","","","","","","",0.195,0.104,0.166,0.356,0.246,0,0,0,0.802,0.28,0.691,0.565,0.118,"/sports/martial arts ","/devices/signals/mixed signals "
"193",193,"First zcash OPRETURN  ","zcash OPRETURN","NA","NA","","","","","","",0.021,0.05,0.124,0.816,0.055,0,0,0,0.027,0.196,0.044,0.316,0.038," "," "
"194",194,"Bitcoin isnt anonymous enough  ","Bitcoin","NA","NA","","","","Bitcoin","NA","NA",0.155,0.168,0.466,0.097,0.2,0,0,0,0.273,0.272,0.54,0.593,0.465,"/health and fitness/addiction/alcoholism "," "
"195",195,"Poloniex  pump and dump Exchange  Ethereum Classic Zcash  ","Poloniex  pump","Exchange  Ethereum Classic","Zcash","Stock market","NA","NA","Poloniex","NA","NA",0.083,0.044,0.065,0.289,0.582,0.116,0,0,0.727,0.358,0.829,0.46,0.704,"/finance/investing/stocks ","/products/services/applications/pumps/poloniex  pump "
"196",196,"And the law of supply and demand strongly suggests the ZCash price will move proportionately and inversely in that  ","ZCash price","demand","law","Supply and demand","Inverse demand function","Karl Marx","ZCash","NA","NA",0.2,0.059,0.218,0.047,0.598,0.141,0,0,0.898,0.868,0.624,0.389,0.664,"/law, govt and politics ","/numbers/factors/features/details/price/zcash price "
"197",197,"The latest daily free knowledge  ","daily free knowledge","NA","NA","","","","","","",0.19,0.046,0.127,0.557,0.174,0.882,0,0,0.454,0.289,0.512,0.617,0.664,"/business and industrial/advertising and marketing/advertising "," "
"198",198,"RT ZcashNews Zcash is todays highest performing altcoin  ","ZcashNews Zcash","todays","altcoin","","","","","","",0.013,0.021,0.089,0.796,0.138,0,0,0,0.111,0.309,0.169,0.462,0.061,"/art and entertainment "," "
"199",199,"RT MAbtc Admit it Which one of you just paid      BTC    ZEC zcash","BTC    ZEC zcash","MAbtc Admit","NA","","","","","","",0.176,0.155,0.031,0.576,0.159,0,0,0.36,0.302,0.041,0,0.328,0.287,"/law, govt and politics/politics/elections "," "
"200",200,"New Release ZCash Wallet Fire amp Water proof  Maybe somethink for you  zcashco zooko mineZcash ZcashNews  ","amp Water proof","Release ZCash Wallet","zooko mineZcash ZcashNews","Water","A. R. Rahman","NA","","","",0.116,0.087,0.127,0.573,0.181,0.029,0,0.262,0.573,0.656,0.238,0.35,0.311,"/law, govt and politics/law enforcement/fire department ","/features/functions/water proof/amp water proof "
